PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
1720,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions tools to be used by seasoned cost engineers with their knowledge.,Yes
1721,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes a pre-feasibility study conducted in actual stages (1979 and 1980) with real project data including seabed surveys and wave records.,No || Not mentioned or unclear.,No
1722,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1723,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Describes an actual construction project with real progress and implementation details.,No || Not mentioned or unclear.,No
1724,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
1725,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1726,No || Describes a computer system but focuses on the tool implementation rather than model development or testing.,Yes || Describes COSTMOD computer application system for building and operating hierarchically structured cost estimation models.,No || Not mentioned or unclear.,Yes || Discusses use in design decision-making process and addresses accuracy issues and effort required by users.,Yes
1727,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cannot determine from title alone without abstract.
1728,Yes || Describes a mathematical performance/cost tunneling model (TM) that simulates excavation activities and includes cost accounting for effectiveness comparisons.,No || Not mentioned or unclear.,Yes || Uses a recently completed tunnel project in Utah as an example and discusses application in actual tunnel project planning.,Yes || Mentions the need for informed judgment and appreciation of limitations when using the model.,No || Primary focus is on tunneling simulation and performance modeling with cost estimation as one component.
1729,No || Describes a computer program system rather than proposing or testing AI/ML models.,Yes || Presents a computer program system for building cost estimation with detailed material and labor calculations.,No || No mention of actual implementation in real projects or field testing.,No || No discussion of user interaction or human factors in tool usage.,Yes
1730,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Analyzes cost evaluation methods based on assumed conditions within typical U.S. homes.,No || Not mentioned or unclear.,No
1731,No || Describes a traditional ratio-based estimation method rather than AI/ML models.,No || Discusses methodology rather than software systems or platforms.,Yes || Applied by companies like Badger with international activities for world-wide procurement and construction projects.,No || Not mentioned or unclear.,Yes
1732,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
1733,No || Mentions AI techniques but focuses on system functionality rather than model development or testing.,Yes || Describes an automatic design system that performs plotting and cost estimation tasks.,Yes || System was developed for architects engaged in actual construction of custom-made houses.,Yes || Discusses reducing architect's workload and aiding routine tasks through the system.,No || Cost estimation is one component of a broader automatic design system.
1734,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Cannot determine focus without abstract.
1735,No || Describes a system approach but no specific AI/ML models mentioned.,Yes || Describes a computer aided system for construction cost estimation.,Yes || Implemented during an internationally funded feasibility study in Burma.,No || Not mentioned or unclear.,Yes
1736,No || Describes a software system rather than proposing or testing AI/ML models.,Yes || Describes HOUSE24 as a multi-access computer program for automated drawing and cost estimation with data terminals.,Yes || Mentions cooperative utilization by builders in Japan through telephone lines indicating real-world implementation.,No || Not mentioned or unclear.,Yes
